point,gt_x_m,gt_y_m,slam_x_m,slam_y_m,error_m,error_cm
447,0.0000,1.7097,-0.0700,1.7097,0.0700,7.00
448,0.0000,1.6774,-0.0019,1.6774,0.0019,0.19
449,0.0000,1.6452,-0.1808,1.6452,0.1808,18.08
450,0.0000,1.6129,0.2271,1.6129,0.2271,22.71
451,0.0000,1.5806,-0.2197,1.5806,0.2197,21.97
452,0.0000,1.5484,-0.2342,1.5484,0.2342,23.42
453,0.0000,1.5161,-0.0626,1.5161,0.0626,6.26
454,0.0000,1.4839,-0.0356,1.4839,0.0356,3.56
455,0.0000,1.4516,-0.0058,1.4516,0.0058,0.58
456,0.0000,1.4194,-0.2513,1.4194,0.2513,25.13
457,0.0000,1.3871,0.0899,1.3871,0.0899,8.99
458,0.0000,1.3548,-0.0679,1.3548,0.0679,6.79
459,0.0000,1.3226,-0.2256,1.3226,0.2256,22.56
460,0.0000,1.2903,0.1154,1.2903,0.1154,11.54
461,0.0000,1.2581,-0.2134,1.2581,0.2134,21.34
462,0.0000,1.2258,0.1613,1.2258,0.1613,16.13
463,0.0000,1.1935,-0.0215,1.1935,0.0215,2.15
464,0.0000,1.1613,0.1984,1.1613,0.1984,19.84
465,0.0000,1.1290,0.1610,1.1290,0.1610,16.10
466,0.0000,1.0968,0.0754,1.0968,0.0754,7.54
467,0.0000,1.0645,-0.0309,1.0645,0.0309,3.09
468,0.0000,1.0323,-0.2263,1.0323,0.2263,22.63
469,0.0000,1.0000,-0.2326,1.0000,0.2326,23.26
470,0.0000,0.9677,0.1075,0.9677,0.1075,10.75
471,0.0000,0.9355,0.1737,0.9355,0.1737,17.37
472,0.0000,0.9032,0.2124,0.9032,0.2124,21.24
473,0.0000,0.8710,-0.0887,0.8710,0.0887,8.87
474,0.0000,0.8387,-0.1810,0.8387,0.1810,18.10
475,0.0000,0.8065,0.1088,0.8065,0.1088,10.88
476,0.0000,0.7742,-0.2044,0.7742,0.2044,20.44
477,0.0000,0.7419,0.2022,0.7419,0.2022,20.22
478,0.0000,0.7097,0.2605,0.7097,0.2605,26.05
479,0.0000,0.6774,0.2374,0.6774,0.2374,23.74
480,0.0000,0.6452,-0.1831,0.6452,0.1831,18.31
481,0.0000,0.6129,0.0004,0.6129,0.0004,0.04
482,0.0000,0.5806,-0.2534,0.5806,0.2534,25.34
483,0.0000,0.5484,-0.2584,0.5484,0.2584,25.84
484,0.0000,0.5161,-0.0536,0.5161,0.0536,5.36
485,0.0000,0.4839,0.2544,0.4839,0.2544,25.44
486,0.0000,0.4516,-0.1272,0.4516,0.1272,12.72
487,0.0000,0.4194,0.2419,0.4194,0.2419,24.19
488,0.0000,0.3871,-0.2150,0.3871,0.2150,21.50
489,0.0000,0.3548,0.1182,0.3548,0.1182,11.82
490,0.0000,0.3226,-0.1557,0.3226,0.1557,15.57
491,0.0000,0.2903,0.2582,0.2903,0.2582,25.82
492,0.0000,0.2581,-0.2354,0.2581,0.2354,23.54
493,0.0000,0.2258,-0.0312,0.2258,0.0312,3.12
494,0.0000,0.1935,-0.2191,0.1935,0.2191,21.91
495,0.0000,0.1613,-0.2119,0.1613,0.2119,21.19
496,0.0000,0.1290,0.2545,0.1290,0.2545,25.45
497,0.0000,0.0968,-0.2354,0.0968,0.2354,23.54
498,0.0000,0.0645,-0.2535,0.0645,0.2535,25.35
499,0.0000,0.0323,-0.1566,0.0323,0.1566,15.66
500,0.0000,0.0000,-0.2618,0.0000,0.2618,26.18
